Database,Admin,Table,UserAccount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UserCode,OldUserCode,UserName,LoginName,BranchCode,DepartmentCode,Position,MainLanguage,UserPhone,PhoneNumber,Remark,UserAccountStatus,UserCanChangePassword,PasswordNeverExpire,ChangePasswordWhenLogin,EnforcePasswordHistory,MaximumPasswordAge,MinimumPasswordAge,MinimumPasswordLength,PasswordComplexityRequirements,TimeZone,ThousandSeparateCharacter,DecimalSeparateCharacter,DateFormat,LongDateFormat,TimeFormat,LockoutDur,LockoutTthrs,ResetLockout,PolicyId,ExpireDate,Email,IsOnline,Avatar,UpdatedOnUtc,CreatedOnUtc,Id
00911,,Neptune Admin,admin,003,00003,"{""Dealer"":1,""Cashier"":1,""OperationStaff"":0,""InterBranchUser"":0,""ChiefCashier"":1,""BranchManager"":1,""Officer"":1}",en,,"{""Cell"":"""",""Telex"":"""",""Facsimile"":"""",""Home"":"""",""Office"":""""}",,N,Y,N,Y,5,0,0,6,N,6.5,",",.,D1,,T1,15,3,15,1,,user1@gmail.com,Y,,,,0
00921,,Neptune 001,ac01,003,00003,"{""Cashier"":1,""Officer"":1,""ChiefCashier"":0,""OperationStaff"":0,""Dealer"":0,""InterBranchUser"":0,""BranchManager"":0}",en,,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,N,Y,N,Y,5,0,0,8,Y,6.5,",",.,D1,,T1,15,3,15,1,,user2@gmail.com,Y,,,,0
00922,,Neptune 002,ac02,003,00003,"{""Dealer"":0,""Cashier"":1,""OperationStaff"":0,""InterBranchUser"":0,""ChiefCashier"":1,""BranchManager"":0,""Officer"":1}",en,,"{""Cell"":"""",""Telex"":"""",""Facsimile"":"""",""Home"":"""",""Office"":""""}",,N,Y,N,Y,5,0,0,6,N,6.5,",",.,D1,,T1,15,3,15,1,,user3@gmail.com,Y,,,,0
00923,,Neptune 003,ac03,003,00003,"{""Cashier"":0,""Officer"":1,""ChiefCashier"":1,""OperationStaff"":1,""Dealer"":1,""InterBranchUser"":1,""BranchManager"":1}",en,,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,N,Y,N,Y,5,0,0,8,Y,6.5,",",.,D1,,T1,15,3,15,1,,user4@gmail.com,Y,,,,0
00924,,Neptune 004,ac04,003,00003,"{""Dealer"":0,""Cashier"":1,""OperationStaff"":1,""InterBranchUser"":0,""ChiefCashier"":1,""BranchManager"":0,""Officer"":1}",en,,"{""Cell"":"""",""Telex"":"""",""Facsimile"":"""",""Home"":"""",""Office"":""""}",,N,Y,N,Y,5,0,0,6,N,6.5,",",.,D1,,T1,15,3,15,1,,user5@gmail.com,Y,,,,0
00925,,Neptune 005,ac05,003,00003,"{""Cashier"":1,""Officer"":0,""ChiefCashier"":1,""OperationStaff"":0,""Dealer"":0,""InterBranchUser"":1,""BranchManager"":0}",en,,"{""Cell"":"""",""Telex"":"""",""Facsimile"":"""",""Home"":"""",""Office"":""""}",,N,Y,N,Y,5,0,0,6,N,6.5,",",.,D1,,T1,15,3,15,1,,user6@gmail.com,Y,,,,0
00926,,Neptune 006,ac06,003,00003,"{""Cashier"":1,""Officer"":0,""ChiefCashier"":1,""OperationStaff"":0,""Dealer"":0,""InterBranchUser"":1,""BranchManager"":0}",en,,"{""Cell"":"""",""Telex"":"""",""Facsimile"":"""",""Home"":"""",""Office"":""""}",,N,Y,N,Y,5,0,0,6,N,6.5,",",.,D1,,T1,15,3,15,1,,1user7@gmail.com,Y,,,,0
00008,,Nhung TT,nhungtt,003,00003,"{""Cashier"":1,""Officer"":1,""ChiefCashier"":1,""OperationStaff"":1,""Dealer"":1,""InterBranchUser"":1,""BranchManager"":1}",en,,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,N,Y,N,N,5,0,0,8,Y,6.5,",",.,D1,-,T1,15,3,15,1,,2user7@gmail.com,Y,,,,0
00009,,ShweBank Administrator,sadmin,001,00001,"{""Cashier"":1,""Officer"":0,""ChiefCashier"":1,""OperationStaff"":0,""Dealer"":0,""InterBranchUser"":1,""BranchManager"":0}",en,,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,N,Y,N,N,5,0,0,8,Y,6.5,",",.,D1,-,T1,15,3,15,1,,3user7@gmail.com,Y,,,,0
00010,,Teller 001,teller001,003,00003,"{""Cashier"":1,""Officer"":1,""ChiefCashier"":0,""OperationStaff"":0,""Dealer"":0,""InterBranchUser"":1,""BranchManager"":0}",en,,"{""Home"":"""",""Office"":"""",""Cell"":"""",""Facsimile"":"""",""Telex"":""""}",,N,Y,N,N,5,0,0,8,Y,6.5,",",.,D1,-,T1,15,3,15,1,,4user7@gmail.com,Y,,,,0
